id,audio_path,label,speaker,show,utterance
1_60,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_60.wav,1,SHELDON,BBT,It's just a privilege to watch your mind at work.
1_70,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_70.wav,1,PENNY,BBT,I don't think I'll be able to stop thinking about it.
1_80,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_80.wav,0,SHELDON,BBT,"Since it's not bee season, you can have my epinephrine."
1_90,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_90.wav,0,SHELDON,BBT,"Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces."
1_105,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_105.wav,1,SHELDON,BBT,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.
1_162,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_162.wav,0,HOWARD,BBT,"Sheldon, if you were a robot, and I knew and you didn't..."
1_175,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_175.wav,1,SHELDON,BBT,"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you."
1_182,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_182.wav,1,SHELDON,BBT,No. The dark crescent-shaped patterns under your arms conceal it nicely.
1_213,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_213.wav,1,SHELDON,BBT,"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement."
1_276,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_276.wav,1,LEONARD,BBT,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough."
1_340,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_340.wav,1,RAJ,BBT,"Sure, cut the foreigner in half. There's a billion more where he came from."
1_410,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_410.wav,0,RAJ,BBT,"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali."
1_427,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_427.wav,1,SHELDON,BBT,"Well, I'm sorry, too, but there's just no room for you in my wallet."
1_430,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_430.wav,0,RAJ,BBT,"I've got some feelers out. In the meantime, listen to this."
1_467,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_467.wav,0,SHELDON,BBT,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?
1_506,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_506.wav,0,SHELDON,BBT,Not to mention you'd have to power down on saturdays.
1_507,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_507.wav,1,SHELDON,BBT,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out."
1_533,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_533.wav,0,LEONARD,BBT,"Technically, yes. But, if you'll notice... It's reversible!"
1_536,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_536.wav,1,SHELDON,BBT,Just the latest copy of Applied Particle Physics quarterly.
1_537,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_537.wav,1,PENNY,BBT,"Oh, you know, that is so weird that yours came and mine didn't."
1_672,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_672.wav,0,SHELDON,BBT,Do you think Penny will come here and take care of us?
1_971,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_971.wav,1,HOWARD,BBT,"- Now?! - No, after my tongue has swollen to the size of a brisket!"
1_1001,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1001.wav,0,RAJ,BBT,"What else? Sell it on eBay as ""slightly used."""
1_1003,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1003.wav,1,HOWARD,BBT,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel."
1_1144,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1144.wav,1,SHELDON,BBT,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two."""
1_1180,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1180.wav,1,SHELDON,BBT,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space."
1_1185,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1185.wav,0,LEONARD,BBT,I think tonight was a very good start.
1_1189,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1189.wav,0,SHELDON,BBT,"I'm sorry, I am not going back to the Renaissance fair."
1_1262,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1262.wav,0,SHELDON,BBT,You were very clear. As was everyone else at the table.
1_1296,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1296.wav,1,HOWARD,BBT,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters."
1_1466,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1466.wav,1,SHELDON,BBT,"Maybe when I publish it, I'll include an inhaler."
1_1470,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1470.wav,0,PENNY,BBT,I don't know. It just died. I'm getting a bunch of static.
1_1478,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1478.wav,1,HOWARD,BBT,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed."
1_1484,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_1484.wav,0,SHELDON,BBT,The big deal is that nobody touches food on my plate.
