id,audio_path,label,speaker,show,utterance,embedding_path
1_60,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_60.wav,1,SHELDON,BBT,It's just a privilege to watch your mind at work.,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_60.npy
1_70,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_70.wav,1,PENNY,BBT,I don't think I'll be able to stop thinking about it.,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_70.npy
1_80,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_80.wav,0,SHELDON,BBT,"Since it's not bee season, you can have my epinephrine.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_80.npy
1_90,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_90.wav,0,SHELDON,BBT,"Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_90.npy
1_105,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_105.wav,1,SHELDON,BBT,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_105.npy
1_162,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_162.wav,0,HOWARD,BBT,"Sheldon, if you were a robot, and I knew and you didn't...",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_162.npy
1_175,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_175.wav,1,SHELDON,BBT,"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_175.npy
1_182,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_182.wav,1,SHELDON,BBT,No. The dark crescent-shaped patterns under your arms conceal it nicely.,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_182.npy
1_213,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_213.wav,1,SHELDON,BBT,"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_213.npy
1_276,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_276.wav,1,LEONARD,BBT,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_276.npy
1_340,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_340.wav,1,RAJ,BBT,"Sure, cut the foreigner in half. There's a billion more where he came from.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_340.npy
1_410,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_410.wav,0,RAJ,BBT,"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_410.npy
1_427,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_427.wav,1,SHELDON,BBT,"Well, I'm sorry, too, but there's just no room for you in my wallet.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_427.npy
1_430,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_430.wav,0,RAJ,BBT,"I've got some feelers out. In the meantime, listen to this.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_430.npy
1_467,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_467.wav,0,SHELDON,BBT,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_467.npy
1_506,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_506.wav,0,SHELDON,BBT,Not to mention you'd have to power down on saturdays.,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_506.npy
1_507,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_507.wav,1,SHELDON,BBT,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_507.npy
1_533,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_533.wav,0,LEONARD,BBT,"Technically, yes. But, if you'll notice... It's reversible!",/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_533.npy
1_536,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/audio_wav/1_536.wav,1,SHELDON,BBT,Just the latest copy of Applied Particle Physics quarterly.,/Users/snealon1/Documents/projects/Sarcasm-Detection/ml/prosodic/data/processed/embeddings/1_536.npy
